زمان ایجاد,متن مطلب,نام کاربری منبع,مشاهده مطلب,آدرس مطلب,زمان ایجاد میلادی
1404-10-18 19:40:57,تمام کافهها ظاهرا فردا و پس فردا رو تعطیل کردن توی تهران. واقعا چیزای قشنگ و عجیبی داریم میبینیم!,choonkehghashange,101,https://telegram.me/choonkehghashange/13798,2026-01-08 16:10:57
1404-10-18 19:39:26,روحالله خمینی، اردیبهشت ۵۷:حالا که اهل ایران قیام کرده بنا باید بر این باشد که در تمام ایران یک روز اجتماع باشد. متفرق نباشیداگر روزی یک کلمهای فرض کنید از یک جایی صادر شد، اهالی ایران یک حرکت باشندهر کسی برای خودش یک سازی نزند. این شکست است. باید سازمان داده شود به این قیام!,choonkehghashange,97,https://telegram.me/choonkehghashange/13797,2026-01-08 16:09:26
1404-10-18 19:38:27,اگه کسی گفت نزنید یادت باشه اون سه نفری که پشت ماشین میهن به نیکا تعرض کردن و با لگد به سرش زدن و کشتنش هنوز اون بیرونن!!,choonkehghashange,82,https://telegram.me/choonkehghashange/13796,2026-01-08 16:08:27
1404-10-18 19:37:54,امشب ساعت ۲۰.۰۰ صدای انقلاب ایران را خواهند شنید...با هر رنگ و زبان و عقیدهای، باید روبروی این حکومت فاسد و ظالم ایستاد.ساعت ۲۰.۰۰ صدای ایران باشیم❤️,choonkehghashange,80,https://telegram.me/choonkehghashange/13795,2026-01-08 16:07:54
1404-10-18 19:36:35,ج.ا. چند نفر نیروی سرکوب در اختیار دارد؟چند خودروی سرکوب در اختیار دارد؟چقدر گاز اشکآور در انبار حکومت موجود است؟مردم به خوبی فهمیدهاند که برتری عددی بیچون و چرایشان، تمام میکند عمر این حکومت ظالم را...,choonkehghashange,81,https://telegram.me/choonkehghashange/13794,2026-01-08 16:06:35
1404-10-18 19:34:55,کسی که امروز پول نداره ممکنه فردا داشته باشهولی اگه کسی امروز شرف نداره شک نکنیم که فردا هم نداره!,choonkehghashange,207,https://telegram.me/choonkehghashange/13793,2026-01-08 16:04:55
1404-10-18 19:34:20,امشب ایران تقسیم بر دو میشود: یک طرف ملت ایران یکی میشوند، یک طرف بیطرفها و بیشرفها!,choonkehghashange,206,https://telegram.me/choonkehghashange/13792,2026-01-08 16:04:20
1404-10-18 19:33:50,یه نفر نوشته بودخوابیدنِ ما ایرانیها الان ریسکیه، چون ممکنه سکانس پایانی رو از دست بِدیم.جدی چه دلهرهی شیرینیه❤️❤️❤️❤️❤️,choonkehghashange,77,https://telegram.me/choonkehghashange/13791,2026-01-08 16:03:50
1404-10-18 19:33:22,تا وقتی پول بود، به اسم ارز ترجیحی بین رفقای بیشرف تر از خودتون تقسیم کردید و هزینهش رو مردم دادند،حالا که ارزی نمونده، منت حذفش رو بر سر ملت میگذارید و تورمش دوباره از جیب مردم میرود!اگر قصد مبارزه با فساد داشتید، مجوزهای رانتی و بودجه نهادهای بیخاصیت را حذف میکردید!چطوری اینقدر بیشرافتید؟,choonkehghashange,119,https://telegram.me/choonkehghashange/13790,2026-01-08 16:03:22
1404-10-18 19:32:10,دریافتی:مردم رزن ریختن بیرون !!!!رزن شهرستان محروم استان همدانه که تا امروز چنین صحنه ای به خودش ندیده بود، اعتراضات طوریه مثل سیل جاری شده و همه جا رو میگیره!!,choonkehghashange,78,https://telegram.me/choonkehghashange/13789,2026-01-08 16:02:10
1404-10-18 19:31:33,تاحالا رفتی اعتراضات؟ +نهاسمت چیه؟ +اسم ندارمخونتون کجاست؟ +خونه ندارمتوییتر داری؟ +توییتر چیهتاحالا شعار نوشتی؟ منم انقلابی ام+نه ننوشتممیدونی کجاها شلوغه؟ +نههشتگ میزنی تو فضای مجازی؟ +نهبیا بریم اونور شلوغتره+نمیامنکات مهم امروز رو اطلاع رسانی کنیم🙏,choonkehghashange,78,https://telegram.me/choonkehghashange/13788,2026-01-08 16:01:33
1404-10-18 19:30:15,آخوندا برای سقوط نکردنشون روی همه چی خوب فکر کرده بودن؛ سرکوب خشن، توی نطفه خفه کردن مخالف، اپوزیسیون الکی، و…روی همه چی خوب فکر کردن بودن به جز غیر قابل زندگی کردن ایران!,choonkehghashange,76,https://telegram.me/choonkehghashange/13787,2026-01-08 16:00:15
1404-10-18 19:29:22,چراغ امروز را #کردستان روشن کرد😍,choonkehghashange,90,https://telegram.me/choonkehghashange/13786,2026-01-08 15:59:22
1404-10-18 19:27:57,با دلار ۷ تومنی اومدنبا وعدهی ۷ دلاری دارن میرن!!!,choonkehghashange,68,https://telegram.me/choonkehghashange/13785,2026-01-08 15:57:57
1404-10-18 19:27:26,خطاب به تمام دنیا؛اگر #اینترنت در ایران قطع شد، هر چیزی که #خط_سفیدها درباره ما مردم نوشتن همش دروغه!!!!,choonkehghashange,71,https://telegram.me/choonkehghashange/13784,2026-01-08 15:57:26
1404-10-18 19:27:05,فردای براندازی بودجه تروریستهای منطقه خرج تحصیل کودکان سیستان و بلوچستان میشه، چرا انقلاب نکنیم؟؟,choonkehghashange,73,https://telegram.me/choonkehghashange/13783,2026-01-08 15:57:05
1404-10-18 19:25:30,اون لحظه که مبارزین تو مشهد در ماشین بازداشتیها رو باز کردند و همه رو آزاد کردندمن اشک ریختم، اشک شوق❤️,choonkehghashange,76,https://telegram.me/choonkehghashange/13782,2026-01-08 15:55:30
1404-10-18 19:23:55,نبرد مردم و نیروهای سرکوب در شهرهای مختلف ایران آغاز شده است. شب کذشته از شمال تا جنوب ایران، همگی شاهد این درگیری بودهاند.شجاعت مردم در خیابان تثبیت شده است. دیگر چیزی به عقب، بازنمیگردد!,choonkehghashange,91,https://telegram.me/choonkehghashange/13781,2026-01-08 15:53:55
1404-10-18 19:23:32,دیشب از دارانِ اصفهان، یک گروه اعزام کردند برن بروجرد رو ساکت کنن، سر راه توی الیگودرز یک فصل کتک خوردن، برگشتن 😂بنازم به لرستان❤️,choonkehghashange,90,https://telegram.me/choonkehghashange/13780,2026-01-08 15:53:32
1404-10-18 19:19:36,شهر ها دارن شلوغ میشن کم کم.,choonkehghashange,96,https://telegram.me/choonkehghashange/13779,2026-01-08 15:49:36
1404-10-18 17:57:07,در کتاب تاریخ ایران، زیر این عکس مینویسند:ملتی که گرسنه بود، اما شرافت نفروخت!!!!,choonkehghashange,126,https://telegram.me/choonkehghashange/13778,2026-01-08 14:27:07
1404-10-18 17:56:21,هومن سیدی درباره ریختن برنج ها در آبدانان تو استوری اکانت اینستاگرام خودش : این اعلام حد است. اعلامِ حد یعنی انسان هنوز صاحب کرامت است، حتی وقتی چیزی برای خوردن ندارد!,choonkehghashange,80,https://telegram.me/choonkehghashange/13777,2026-01-08 14:26:21
1404-10-18 17:56:03,استایل پیاده روی برای برودت هوا در آخر هفته :,choonkehghashange,80,https://telegram.me/choonkehghashange/13776,2026-01-08 14:26:03
1404-10-18 17:51:33,به هیچ عنوان تاکید میکنم به هیچ عنوان اگر تو اعتراضات شرکت میکنید از هیچکس حتی کسی که میشناسید خوراکی یا قرص یا هرچیز دیگهای نگیرید حتی آب پلمپ شده هم نگیرید برای خوردن!حتما اطلاع رسانی کنید دوستان ❤️,choonkehghashange,108,https://telegram.me/choonkehghashange/13775,2026-01-08 14:21:33
1404-10-18 17:41:12,اگه اینترنت رو قطع کردن:,choonkehghashange,94,https://telegram.me/choonkehghashange/13774,2026-01-08 14:11:12
1404-10-18 17:39:43,صدا و سیما اومد مسخره کنه ولی گل به خودی زد و فراخوان رضا پهلوی برای پنجشنبه جمعه رو، روی آنتن زنده اعلام کردن!,choonkehghashange,95,https://telegram.me/choonkehghashange/13773,2026-01-08 14:09:43
1404-10-18 17:38:44,اما میترا حجازی استاد بزرگ شطرنج جهان در مورد شطرنج حرف نمیزنه!,choonkehghashange,95,https://telegram.me/choonkehghashange/13772,2026-01-08 14:08:44
1404-10-18 14:44:46,,choonkehghashange,164,https://telegram.me/choonkehghashange/13771,2026-01-08 11:14:46
1404-10-18 14:42:36,هر کی میگه 16 نیست 1718                   1920:00,choonkehghashange,169,https://telegram.me/choonkehghashange/13770,2026-01-08 11:12:36
1404-10-18 14:42:31,,choonkehghashange,168,https://telegram.me/choonkehghashange/13769,2026-01-08 11:12:31
1404-10-18 01:25:01,پلی مارکت : شرط بندی روی جمهوری اسلامی رکورد زده!شبتون خوش عزیزانم🌷,choonkehghashange,231,https://telegram.me/choonkehghashange/13768,2026-01-07 21:55:01
1404-10-18 01:18:08,فقط حواسمون شدیدا باشه فردا در حین ورزش و پیاده روی برای تندرستی اگه احیانا یه عده بیشرف و اجیرشده خواستن پرچم یا حسین آتیش برنن قران وسط خیابون اتیش بزنن یا هرکاری کنن که احساسات قشر مذهبی رو برانگیخته کنن سریعا دفع کنیم نزاریم انجام بشه!!!نه به تکرارِ ۸۸ !!,choonkehghashange,249,https://telegram.me/choonkehghashange/13767,2026-01-07 21:48:08
1404-10-18 00:58:43,میدونم تکراریه اما حس میکنم تکرارش لازمه!پس :اگر از آسمان کیسه دلار پاشیدند، اگر وسط تهران کنسرت مجانی تیلور سویفت برگزار کردند، اگر شراب و آبجو به خانهها لولهکشی کردند، اگر بلیط دور دنیا برای کل ملت خریدند، اگر خالیباف و زنش لخت در خیابان سالسا رقصیدند، گول نمیخوریم!هدف ما پیاده روی برای سلامتی تن و روح...,choonkehghashange,247,https://telegram.me/choonkehghashange/13766,2026-01-07 21:28:43
1404-10-17 23:31:38,۴۰۱ بیهوده نبود، جانهایی که فدا شد بیهوده نبود، اگه اتفاق نمیوفتاد اگه به اون بنبستها نمیخوردیم شاید امروز بهجای خیابون داشتیم هشتگ ترند میکردیم و از هکرا میخواستیم نجاتمون بدن. تاوان سنگینی بود ولی فهمیدیم فقط خودمونیم و فقط خیابون!,choonkehghashange,233,https://telegram.me/choonkehghashange/13765,2026-01-07 20:01:38
1404-10-17 23:26:26,چقدر ۱۴۰۱ همهچی مبهم بود،و چقدر ۱۴۰۴ همهچی شفافه!,choonkehghashange,233,https://telegram.me/choonkehghashange/13764,2026-01-07 19:56:26
1404-10-17 23:25:20,ایران واسه معمولیا نیست !+رسماً نصف شهر رو به غنیمت بردن😂بنازم مردم چناران رو😍,choonkehghashange,208,https://telegram.me/choonkehghashange/13763,2026-01-07 19:55:20
1404-10-17 23:14:13,پیام شاهزاده توی اینستا توی یک روز حدود هفتاد میلیون ویو خورده!,choonkehghashange,216,https://telegram.me/choonkehghashange/13762,2026-01-07 19:44:13
1404-10-17 22:53:19,اگر از آسمان کیسه دلار پاشیدند، اگر وسط تهران کنسرت مجانی تیلور سویفت برگزار کردند، اگر شراب و آبجو به خانهها لولهکشی کردند، اگر بلیط دور دنیا برای کل ملت خریدند، اگر خالیباف و زنش لخت در خیابان سالسا رقصیدند، گول نمیخوریم!هدف ما پیاده روی برای سلامتی تن و روح...,choonkehghashange,283,https://telegram.me/choonkehghashange/13761,2026-01-07 19:23:19
1404-10-17 22:50:11,دیروز سالگرد سانچی بودامروز سالگرد اعدام محمد حسینی و محمد مهدی کرمیفردا سالگرد هواپیمای اوکراینیلعنت بهتون که جایجای این تقویم غم کاشتید!,choonkehghashange,237,https://telegram.me/choonkehghashange/13760,2026-01-07 19:20:11
1404-10-17 21:59:57,...,choonkehghashange,230,https://telegram.me/choonkehghashange/13759,2026-01-07 18:29:57
1404-10-17 21:59:43,...,choonkehghashange,223,https://telegram.me/choonkehghashange/13758,2026-01-07 18:29:43
1404-10-17 21:52:08,تنها چیزی که نمیشه خرید، شرفه.مدت زیادی در این تن نخواهیم ماند، باشرف باشیم!بمیرَم بِنامُ نَمانَم به نَنگ....,choonkehghashange,223,https://telegram.me/choonkehghashange/13757,2026-01-07 18:22:08
1404-10-17 21:50:33,انور سادات خطاب به ۵۷ ها : « اما تاریخ قضاوت خواهد کرد که چه کسی به ملتش خدمت کرد و چه کسی ملتش را به خاک سیاه نشاند.»,choonkehghashange,229,https://telegram.me/choonkehghashange/13756,2026-01-07 18:20:33
1404-10-17 21:50:04,نوشته : ما لرها از اول هم دُنگ گرفتن بلد نبودیمواسه همین بلند شدیم میز همه رو حساب کردیم!ای من به قربان شما❤️,choonkehghashange,206,https://telegram.me/choonkehghashange/13755,2026-01-07 18:20:04
1404-10-17 21:48:55,در بروجرد لرستان مامورای یگان ویژه دیدن جمعیت مردم معترض خیلی زیاده و کاری نمیتونن در مقابلشون بکنن دارن دست تکونمیدن برای مردم!,choonkehghashange,206,https://telegram.me/choonkehghashange/13754,2026-01-07 18:18:55
1404-10-17 21:47:04,,choonkehghashange,94,https://telegram.me/choonkehghashange/13753,2026-01-07 18:17:04
1404-10-17 21:40:51,یه مقاله خوندم امروز که تاکید داشت توی پیادهروی کردن استمرار خیلی مهمه!,choonkehghashange,99,https://telegram.me/choonkehghashange/13752,2026-01-07 18:10:51
1404-10-17 21:38:27,این زرشکیان احمق و بیشرف رو فحش ندید.اقداماتش رو که ببینیم متوجه میشیم که اونم واسه تغییر حکومت عجله داره!,choonkehghashange,91,https://telegram.me/choonkehghashange/13751,2026-01-07 18:08:27
1404-10-17 21:32:20,کی میگه گرونیه؟یه گاو رو با یک میلیون میشه خرید!,choonkehghashange,111,https://telegram.me/choonkehghashange/13750,2026-01-07 18:02:20
1404-10-17 21:28:43,شریف باشیم مثل ووریا❤️,choonkehghashange,130,https://telegram.me/choonkehghashange/13749,2026-01-07 17:58:43
1404-10-17 21:22:03,گوهردشتمهران آشخانه خراسان طبرسی مشهد سورشجان چهارمحال بختیاریفریمانخرمدره بندر کنگان الوند قزوین گیلانغرب اقبالیه (سلطان آباد) قزوین فیروزکوهارسنجان نوده زیباشهرِ قزوین شهسوار هلیلان وکوهچنار تربت جامبوشهرسرابله دهلرانفردیساسلامشهر و... هم به اعتراضات پیوستند!,choonkehghashange,126,https://telegram.me/choonkehghashange/13748,2026-01-07 17:52:03
1404-10-17 19:30:10,به #کشورتان همیشه وفادار باشید، اما به #حکومتتان، تا زمانی که لیاقتش را داشت...,choonkehghashange,212,https://telegram.me/choonkehghashange/13747,2026-01-07 16:00:10
1404-10-17 19:25:05,منم زینبِ همین دوره ام....,choonkehghashange,161,https://telegram.me/choonkehghashange/13746,2026-01-07 15:55:05
1404-10-17 19:22:53,آخوند در 3 روز بیشتر از 5000 نفر رو در کشور کشت صدا از چپ و اصلاح طلب پفیوز و بیناموس در نیومد، از دیروز سر چند تا کیسه برنج دارن خودشونو پاره میکنن!در هیچ کجای دنیا هیچکسی اندازه این قماش کثافت نبود!!,choonkehghashange,163,https://telegram.me/choonkehghashange/13745,2026-01-07 15:52:53
1404-10-17 19:21:14,هروقت خواستیم از اعتراضات دست بکشیم یادمون باشه آخوند به محض آروم شدن اوضاع کلی بیگناه رو اعدام میکنه.مثل کاری که با این بچه ها کرد!,choonkehghashange,105,https://telegram.me/choonkehghashange/13743,2026-01-07 15:51:14
1404-10-17 19:21:14,,choonkehghashange,104,https://telegram.me/choonkehghashange/13744,2026-01-07 15:51:14
1404-10-17 19:20:06,حتی یک نفر از بیشرفهایی که در جنگ ۱۲ روزه به دروغ گفتند اسرائیل به بیمارستانی در کرمانشاه حمله کرده، به حمله، شلیک مستقیم و پرتاب اشکآور به بیمارستان سینای تهران و خمینی ملکشاهی ایلام توسط جمهوری اسلامی واکنش نشون ندادند. حتی یک نفر!,choonkehghashange,105,https://telegram.me/choonkehghashange/13742,2026-01-07 15:50:06
1404-10-17 19:18:50,همون برنج کف خیابون رو دیدید؟همون رو فردا میریزن توی کیسه مثل سگ پرت میکنن جلوی عرزشی که براشون دُم تکون بده و پاچهی مردم رو بگیره.ذاتشون گدازادهست!,choonkehghashange,108,https://telegram.me/choonkehghashange/13741,2026-01-07 15:48:50
1404-10-17 19:12:29,نامهای متفاوتی دارند. گذارطلب، جمهوریخواه….ژنرالهایشان از آسمان به زمین نمیآیند.یک تریلی نمیتواند نامشان و کتابهای کتابخانهشان را جابجا کند.ضریبنفوذشان در جامعه اما به صفر میل میکند. حسابهای کاربریشان تار عنکبوت بسته و هرکس که اقبالی در میان مردم دارد را هوچیگر پوپولیست مینامند.کسی را در خیابان ندارند. آنها که به خیابان میآیند حتی نامشان را هم نشنیدهاند. اما یک لحظه از یاد ربودن قدرت، غافل نمیشوند.مردم را تودهای بیشکل میخواهند. خیابان را بیصدا میکنند تا بگویند نتیجهاش از آن کسی نیست.سقوط حکومت رویایشان را برباد میدهد. مردم را تنها چون اهرمی میخواهند برای معامله با حکومت مستقر.به انتظار نشستهاند تغاری بشکند و ماستی بریزد تا جهان به کام کاسهلیسان گردد.هیچ مسیری برای رسیدن به قدرت از طریق قیام مردم، برایشان مهیا نیست. صدای پادشاهیخواهی مردم را نفی میکنند تا آخرین گزینه برای روز معامله با حکومت باقی بمانند.چون کفتاری چشمانتظار ربودن شکار شیر نشستهاند.طنز ماجرا اینجاست که این جماعت، آنهایی که قرار است از دل خیابان صاحب حکومت شوند را فاشیست خطاب میکنند.چیزی اما فرق کرده در این روزها.مردم ایران، از روی تمامشان رد میشوند!!,choonkehghashange,114,https://telegram.me/choonkehghashange/13740,2026-01-07 15:42:29
1404-10-17 18:32:23,,choonkehghashange,132,https://telegram.me/choonkehghashange/13739,2026-01-07 15:02:23
1404-10-17 18:26:11,ابتکار عمل  تو شیراز قشنگمون طوریه که ملت تابلو تبلیغاتی رژیم رو آوردن پایین، هم راهو بستن هم باهاش مارش جنگی میزنن😍😂😍😂😍😂درود به تک تکتون❤️,choonkehghashange,132,https://telegram.me/choonkehghashange/13738,2026-01-07 14:56:11
1404-10-17 18:16:23,امروز چهارشنبه هفدهم دیماه خیزش دلاورمردان و شیرزنان تهران در:صالح آبادخیابون ملتبازار تهران خیابون حسام لشگرشاد آبادشمران نویافت آبادبازار حمام چالبازار آهنباغ سپهسالارگمرگ تهراناندیشه و ....,choonkehghashange,128,https://telegram.me/choonkehghashange/13737,2026-01-07 14:46:23
1404-10-17 18:14:12,شمالیا ایول👍,choonkehghashange,123,https://telegram.me/choonkehghashange/13736,2026-01-07 14:44:12
1404-10-17 18:08:35,,choonkehghashange,134,https://telegram.me/choonkehghashange/13735,2026-01-07 14:38:35
1404-10-17 18:08:17,دوستان این پست مرتباً به روز رسانی میشه,choonkehghashange,126,https://telegram.me/choonkehghashange/13734,2026-01-07 14:38:17
1404-10-17 17:44:12,طبق گزارش های فلایت رادار، فعالیت هوایی غیر معمولی میان تهران و مسکو در جریان است!!!!!,choonkehghashange,165,https://telegram.me/choonkehghashange/13733,2026-01-07 14:14:12
1404-10-17 17:43:55,رضایت مشتری عزیزمون از سامانه S300,choonkehghashange,98,https://telegram.me/choonkehghashange/13732,2026-01-07 14:13:55
1404-10-17 17:42:23,,choonkehghashange,88,https://telegram.me/choonkehghashange/13731,2026-01-07 14:12:23
1404-10-17 17:40:50,به دهک نیستبه شرفه!!,choonkehghashange,71,https://telegram.me/choonkehghashange/13730,2026-01-07 14:10:50
1404-10-17 17:39:00,کدوم پفیوزی این ایده رو داد که نفری یه میلیون بدن تا بشینیم سرجامون؟ من الان عصبانیتر هستم! باهام مثل فاحشه های ارزون رفتار شده!!تا خرخره ی صاحب ایده رو نَجواَم آروم نمیگیگیرم😂,choonkehghashange,90,https://telegram.me/choonkehghashange/13729,2026-01-07 14:09:00
1404-10-17 17:36:03,یکی از ویژگیهای این اعتراضات اینه که مردم معترض چهره خودشون رو نمیپوشند و سرکوبگران همه نقاب دارند!!!این یعنی امیدِ پیروزی در مردم و ترسِ شکست در این قرمساقا بیشتر شده!,choonkehghashange,88,https://telegram.me/choonkehghashange/13728,2026-01-07 14:06:03
1404-10-17 17:34:23,دوربینهای امنیتی، مانعی بر سر حضور پررنگ مردم در شهرهای بزرگاند.این دوربینها امکان تجزیه و تحلیل اعتراض مردم را برای حکومت فراهم میکنند و نحوه تخصیص نیروها بر اساس اطلاعات این دوربینها فراهم میشود.گذاشتن یک دستمال، در برابر لنز این دوربینها، کاملا منطبق بر اصول مبارزات بیخشونت است!,choonkehghashange,94,https://telegram.me/choonkehghashange/13727,2026-01-07 14:04:23
1404-10-17 17:31:00,آبادان هم به خیزش ملی پیوست😍با شعار:این آخرین نبرده، پهلوی برمیگرده!,choonkehghashange,91,https://telegram.me/choonkehghashange/13726,2026-01-07 14:01:00
1404-10-17 17:23:14,,choonkehghashange,91,https://telegram.me/choonkehghashange/13725,2026-01-07 13:53:14
1404-10-17 17:21:28,امروز تو گناباد حوزه جهلیه به آتش کشیده شده!,choonkehghashange,100,https://telegram.me/choonkehghashange/13724,2026-01-07 13:51:28
1404-10-17 16:29:53,گلچینی از ویدیوهای حضور پشم ریزون مردم شریف بجنورد در خیزش ملی❤️,choonkehghashange,122,https://telegram.me/choonkehghashange/13723,2026-01-07 12:59:53
1404-10-17 16:12:31,شهرهای بپاخاسته امروز در خیزش ملی یا اعتصابات سراسری تا این لحظه:بندرعباسشیرازنیشابوربجنوردقزوینلردگان چهارمحال بختیاریاصفهانسبزوارتبریزمشهدقیدار زنجانحصارک کرجقمرشتبابلسرارومیهکرماناصفهانملکشهر اصفهانشهرکردملکشاهی ایلاماهوازگنابادشادآبادکرمانشاه فساشاهرود و....,choonkehghashange,67,https://telegram.me/choonkehghashange/13722,2026-01-07 12:42:31
1404-10-17 16:08:20,شرافت❤️,choonkehghashange,71,https://telegram.me/choonkehghashange/13721,2026-01-07 12:38:20
1404-10-17 16:02:33,علی مطهری ولدزنا چند سال پیش گفت اگه دو کیسه برنج به ستار بهشتی میدادید، دیگه معترض نبود. مردم آبدانان همون جوابی رو به خامنهای، پزشکیان و کل پروژهی اصلاحات دادند که گوهر عشقی به مطهری بیشرف داد: کارگرها زحمتکش هستند و با دستان پینهبسته نان سر سفره میبرند نه مثل شما وطن فروشان با دزدی و گدایی!,choonkehghashange,80,https://telegram.me/choonkehghashange/13720,2026-01-07 12:32:33
1404-10-17 15:59:00,,choonkehghashange,81,https://telegram.me/choonkehghashange/13719,2026-01-07 12:29:00
1404-10-17 15:57:30,امروز ۱۷ دی لردگان مردم با دست خالی نیروهای تا دندان مسلح جنایتکار رو فراری دادن!,choonkehghashange,78,https://telegram.me/choonkehghashange/13718,2026-01-07 12:27:30
1404-10-17 15:55:03,قمدانشگاه آزاد,choonkehghashange,78,https://telegram.me/choonkehghashange/13717,2026-01-07 12:25:03
1404-10-17 15:50:51,یذره قشنگیجات انقلابی ببینیم کیف کنیم😍,choonkehghashange,82,https://telegram.me/choonkehghashange/13716,2026-01-07 12:20:51
1404-10-17 15:48:15,,choonkehghashange,85,https://telegram.me/choonkehghashange/13715,2026-01-07 12:18:15
1404-10-17 15:46:07,  شیراز یک کامیون برای سنگربندی مردم سنگ و خاک خالی میکنه❤️😍❤️,choonkehghashange,90,https://telegram.me/choonkehghashange/13714,2026-01-07 12:16:07
1404-10-17 15:45:09,زنجان، شهر قیدار مردم جلوی فرمانداری شعار میدن نه غزه نه لبنان، جانم فدای ایرانمرگ بر دیکتاتور!,choonkehghashange,86,https://telegram.me/choonkehghashange/13713,2026-01-07 12:15:09
1404-10-17 15:40:35,کارگران و کارمندان پالایشگاههای پارس جنوبی در حمایت از مردم به اعتصابات سراسری پیوستن😍,choonkehghashange,82,https://telegram.me/choonkehghashange/13712,2026-01-07 12:10:35
